date,rm,rf,rmrf,smb,hml,umd
21dec1989,-.0022896,.0005303,-.00281988,.00374166,-.00348288,.00273755
22dec1989,.0031587,.0005297,.0026291,-.00150485,-.00111561,.00057805
27dec1989,.0128778,.0004956,.01238215,-.00722933,.00427151,.00121003
28dec1989,.0017935,.0004956,.00129789,6.950e-06,-.00193686,-.00205715
29dec1989,.0092433,.0004953,.008748,-.00301862,.00105144,.00388619
02jan1990,.0051641,.0005273,.00463677,.00147705,.00357079,.00498925
03jan1990,.0131379,.0005276,.01261032,.00089747,-.00404327,-.0017065
04jan1990,-.0018838,.0005273,-.00241113,.01021834,.00147858,-.00764119
05jan1990,-.0030638,.000527,-.00359075,.00140763,-.00267026,-.00660915
08jan1990,-.0040717,.000527,-.00459864,.00605321,.00034186,-.00176269
09jan1990,.0018358,.000527,.00130889,-.00190364,-.00117948,-.0022421
10jan1990,-.0084606,.000527,-.00898754,.00656598,.0002391,-.00188036
11jan1990,.0016122,.0005273,.0010849,-.00126038,-.00215975,-.00158795
12jan1990,-.0148396,.000527,-.01536658,.00493939,-.00271709,-.00787751
15jan1990,-.0059774,.0005276,-.00650507,.00184669,.00411615,.00014381
16jan1990,-.0072027,.0005276,-.00773033,.00341563,.00192849,-.00409092
17jan1990,.0092605,.0005276,.00873288,-.00783784,-.00342108,-.00012934
18jan1990,-.0141501,.0005283,-.01467835,.00913997,-.00392692,.00033192
19jan1990,-.0002435,.0005273,-.00077079,.00153703,.00130049,.00475525
22jan1990,-.0132336,.0005273,-.01376085,.01013456,-.00072219,.0083779
23jan1990,-.0026603,.000527,-.00318722,-.00190374,.0015025,-.00084762
24jan1990,-.0063934,.000527,-.00692038,-.00107891,-.0005068,-.00303111
25jan1990,.0039299,.0005263,.00340364,-.00569294,.00053071,.00086251
26jan1990,.0090972,.0005266,.00857056,-.00504345,.00608591,-.00068202
29jan1990,.0064609,.0005266,.00593425,-.00412039,.00169394,.0004284
30jan1990,-.0026465,.0005266,-.00317309,.0060081,-.00106029,.00297188
31jan1990,.0050893,.0005266,.00456265,-.00436198,.00234766,.00330292
01feb1990,.0031004,.0005266,.00257376,-.00182832,-.0006542,.00160107
02feb1990,.0036037,.000527,.00307672,-.00398506,-.00288955,.00144395
05feb1990,-.0020442,.000527,-.00257112,.00384307,.00353955,-.00105946
06feb1990,-.0101474,.0005273,-.01067471,.0083797,-.00177568,-.00457384
07feb1990,-.0052823,.0005273,-.00580958,.00159639,-.00115164,-.0006231
08feb1990,.0084582,.000527,.00793127,-.00672377,-.00446972,.00293486
09feb1990,-.006528,.000527,-.00705492,.0047051,-.00263797,.00411148
12feb1990,-.0094123,.0005273,-.0099396,.00730086,-.00163443,.00214199
13feb1990,.0014756,.0005266,.00094898,-.00364529,.00168158,.0038258
14feb1990,.0019141,.000526,.00138812,-.00255719,.0028137,.00116869
15feb1990,.0046042,.0005266,.00407762,-.0104732,-.00383365,.00252207
16feb1990,.0043095,.0005263,.00378323,-.00191401,.00200538,.00053867
19feb1990,-.0105982,.0005266,-.01112477,.00751968,.0002621,.00076257
20feb1990,-.0084124,.0005266,-.00893901,.0017846,-.00122806,.00093581
21feb1990,-.008456,.0005266,-.0089826,-.00050226,.00029138,-.00100712
22feb1990,.0031088,.0005263,.00258248,-.00266263,.00086675,-.00093765
23feb1990,-.0144486,.000526,-.0149746,.00327474,-.0032022,.0064395
26feb1990,.0069549,.0005266,.00642825,-.01038675,.00216077,-.00067627
27feb1990,.0025039,.0005266,.00197728,-.00107203,.00053169,-.00584174
28feb1990,.0005332,.0005266,6.587e-06,.00054504,.00012224,.00004053
01mar1990,-.0071944,.0005266,-.00772107,.0037921,-.00123865,.00093152
02mar1990,.0061448,.0005263,.00561848,-.00767971,.00097411,-.00020498
05mar1990,-.0103332,.000527,-.01086011,.00391229,-.00307289,.00604123
06mar1990,-.0064547,.0005266,-.00698134,.00269727,-.00240995,.00543246
07mar1990,.0047404,.000526,.00421447,-.00677512,.00308393,.00034591
08mar1990,.0083276,.000526,.0078017,-.0041615,.00079917,-.00054909
